dim,M,std
advanced_mode,0.3474907881436071,0.4761732250966468
electron_density_panel__backface_culling,0.1050260323257356,0.30658696133340235
music,0.6202649971195965,0.48532085311453843
puzzle_dialog__show_beginner,0.15166139498483713,0.35869236994406545
puzzle_dialog__show_old,0.036086564276475254,0.18650556065489057
rank_popups,0.9921305203204313,0.08836034726698143
selection_mode,0.036450690753361374,0.1874087455188903
selection_mode__show_notes,0.9819023706264063,0.13330455800403002
sound,0.7078346974489408,0.4547578900209509
switch_middle_right_click,0.01282051282051282,0.11249954342810413
switch_residue_colors,0.015570482929533374,0.12380647394572906
tooltips,0.9599786958837404,0.19600918175711432
view_options__dark_background,0.11597156552646166,0.32019082047398434
view_options__gui_fade,0.9504027130139889,0.21711148313628714
view_options__guide_pulse,0.9737285464288432,0.1599414402161472
view_options__relative_score_coloring,0.10926511668351431,0.3119715547283956
view_options__show_backbone_issues,0.09810219454136368,0.29745277602929193
view_options__show_bondable_atoms,0.5262388452299431,0.4993110483466184
view_options__show_buried_polars,0.004619515005271682,0.06780984505503425
view_options__show_clashes,0.78092629427941,0.4136186857268882
view_options__show_contact_map_geoms,1.0,0.0
view_options__show_hbonds,0.768431864871034,0.42183448640652754
view_options__show_helix_hbonds,0.2648177737198509,0.44123612776144333
view_options__show_issues,0.37661003684742556,0.48453577473000514
view_options__show_non_protein_hbonds,0.336925685590374,0.4726592514484727
view_options__show_other_hbonds,0.2702144541907153,0.4440704932070235
view_options__show_outlines,0.029146422321496505,0.16821684929683314
view_options__show_residue_burial,0.06660253692894642,0.24933238659182397
view_options__show_sidechain_hbonds,0.38282192584863206,0.48607540458058207
view_options__show_sidechains_with_issues,0.8949087509918371,0.3066709611131566
view_options__show_voids,0.4553809197726112,0.49800515828619873
view_options__sym_chain_colors,0.011836827860566734,0.10815136322194949
view_options__working_pulse_style,0.904126042108238,0.29441831140391167
Don't Show (Fast),0.12318887838175673,0.32865388880218876
Show All (Slow),0.5193204421691069,0.49962658107269486
Show Stubs,0.35749067944913643,0.47926098689141305
Cartoon,0.9124900816295475,0.28258084251634835
Cartoon Ligand,3.8043064749296204e-05,0.006167788702162279
Cartoon Thin,0.07326007326007326,0.26056291932276543
Line,0.0033586591450092936,0.05785653423561541
Line+H,0.0005108640123476919,0.022596526952356633
Line+polarH,0.0002771709003163009,0.01664614299494987
Sphere,0.0002608667297094597,0.016149262467951606
Stick,0.0028804034738752838,0.05359203998452542
Stick+H,0.0003097792415299834,0.017597820272735498
Stick+polarH,0.001880414343322355,0.04332295448396592
Trace Line,0.0032064868860121084,0.05653499206563967
Trace Tube,0.0015271573135074619,0.039049009002115054
AAColor,0.0008695557656981989,0.02947540735034106
AbegoColor,7.065140596297866e-05,0.008405142136919168
CPK,0.001418462842795187,0.037635764984370865
EnzDes,0.0008315127009489027,0.028823970711493993
Hydro,0.004760817817197639,0.06883423879806543
Hydro/Score,0.0020869338376756775,0.04563527741597329
Hydro/Score+CPK,0.003391267486222976,0.058135761722539266
Hydrophobic,0.0,0.0
Ligand Specific,0.0,0.0
Rainbow,0.006130368148172302,0.07805630489934925
Score,0.018972619862827576,0.13642822126806542
Score/Hydro,0.9149248377735024,0.27899351067476935
Score/Hydro+CPK,0.0465429723589961,0.210657836509791
