nid,vid,title
180,180,"Puzzle 6"
181,181,"Puzzle 2"
1430,1430,"Puzzle 1"
1527,1527,"Puzzle 3"
1528,1528,"Puzzle 4"
1529,1529,"Puzzle 5"
28498,28497,"Puzzle 10"
28499,28498,"Puzzle 8"
28500,28499,"Puzzle 9"
28641,28640,"Puzzle 7 (non-experts only!)"
28642,28641,"Puzzle 11"
28643,28642,"Puzzle 12"
29043,29042,"Puzzle 13"
32889,32888,"Puzzle 14"
32890,32889,"Puzzle 15"
32891,32890,"Puzzle 16"
33316,33315,"UCSF Puzzle"
34776,34775,"Puzzle 17"
36528,36527,"Puzzle 18"
36529,36528,"Puzzle 19"
37115,37114,"UCLA Puzzle"
37784,37783,"Level: Trickier Clashes (Drag)"
37787,37786,"Level: Tons of Clashes (Drag)"
37788,37787,"Old Level: Two Helices"
37789,37788,"Old Level: Two Strands"
38180,38179,"Puzzle 20"
38181,38180,"Puzzle 21"
39081,39080,"194: Freestyle 'til the server comes back"
39082,39081,"195: Cover the Ligand 2"
39244,39243,"Puzzle 22"
39248,39247,"Puzzle 23"
41076,41075,"Puzzle 24"
41100,41099,"Puzzle 25"
41999,41998,"Test: One Loop Wrong"
42000,41999,"Test: One Strand Wrong"
42065,42064,"Puzzle 26"
44990,44991,"Puzzle 27"
44992,44993,"Puzzle 28"
45012,45013,"29: More Bio 200!"
45419,45420,"Bio 200 Prion Protein"
47836,47837,"30: Next to a Helix"
50370,50372,"31: Bundle of Sheets"
50372,50374,"32: Long Loop"
51155,51157,"33: Cow Complex"
51157,51159,"34: Three by Two"
53062,53064,"35: Inhibitor Mutant"
53524,53526,"Level: One Small Clash"
53526,53528,"Level: Trickier Clashes"
53530,53532,"Level: Tons of Clashes"
53545,53547,"Level: Two Sheets"
53762,53764,"Level: Two Helices"
53861,53863,"36: Ubiquitous Ubiquitin"
54556,54558,"37: Six Helix Mix"
55654,55656,"38: Cabbage Seed"
56201,56203,"Baker Lab Competition"
56664,56666,"Berkeley vs. UIUC"
56847,56849,"39: Chicken Cytoskeleton"
58571,58573,"40: Green Algae"
60183,60185,"41: Radish Antifungal"
60643,60645,"Easy Puzzle"
61425,61427,"42: Alpha Rabbit"
61430,61432,"Berkeley vs. UIUC: Round 2"
61443,61445,"Berkeley vs. UIUC: Round 3"
62904,62906,"43: Lost in Translation"
64196,64198,"44: Found in Translation"
78843,78845,"45: Adhesion Sheets"
92608,92610,"46: Bacterial Chemotaxis"
136194,136196,"47: Human Fyn"
144213,144215,"48: Pro Peptide"
145172,145174,"49: Phage Repressor"
150432,150434,"50: Strep Binding"
150467,150469,"UW Competition"
154022,154024,"51: Aspartate Mutant"
154023,154025,"51 Beginner: Aspartate Mutant"
156772,156774,"50 Beginner: Strep Binding"
177288,177290,"52 Beginner: Bacteria Energy"
177346,177348,"52: Bacteria Energy"
210263,210281,"CASP Practice 1-1: Fibronectin"
210318,210336,"CASP Practice 2-1: E. coli"
212111,212130,"CASP Practice 4-1: Transduction"
212180,212199,"53: E. coli"
212898,212919,"53 Beginner: E. coli"
212950,212971,"54: Human Fyn 2"
213012,213033,"54 Beginner: Human Fyn 2"
213307,213328,"CASP Practice 3-1: Human Fyn 2"
229505,229532,"CASP Practice 1-2: Fibronectin"
229514,229541,"CASP Practice 2-2: E. coli"
229523,229550,"CASP Practice 3-2: Human Fyn 2"
229527,229554,"CASP Practice 4-2: Transduction"
229538,229565,"55: Scorpion Toxin"
229608,229635,"55 Beginner: Scorpion Toxin"
254592,254632,"56: Lipid Binding"
254593,254633,"56 Beginner: Lipid Binding"
257606,257646,"57: Beta-Neurotoxin"
257614,257654,"57 Beginner: Beta-Neurotoxin"
258950,258990,"CASP Practice 3-3: Human Fyn 2"
259005,259045,"BETA Rebuild Test"
263250,263291,"58: Insulin Mutant"
263251,263292,"58 Beginner: Insulin Mutant "
263259,263300,"59: TCR Binding Protein"
263261,263302,"59 Beginner: TCR Binding Protein"
267740,267781,"60 Beginner: Beta Barrel "
267742,267783,"60: Beta Barrel"
269750,269791,"61 Beginner: Designer Protein Top7"
269757,269798,"61: Designer Protein Top7"
273195,273236,"CASP7: T0308 Variation 1"
273197,273238,"CASP7: T0308 Variation 2"
273199,273240,"CASP7: T0308 Variation 3"
273201,273242,"CASP7: T0308 Variation 4"
273801,273842,"CASP8 First Target T0423"
273979,274020,"CASP8 Second Target T0437"
276422,276463,"CASP7 Refinement Target T0311 Start 2"
276425,276466,"CASP7 Refinement Target T0311 Start 1"
276479,276520,"DO NOT PLAY THIS"
276526,276567,"CASP8 Third Target T407"
276740,276781,"CASP7 T0308 Constrained"
276753,276794,"CASP8 T0423 Constrained"
279643,279684,"CASP8 Third Target T0421"
280154,280195,"CASP8 Third Target T0421 Start 2 Clone"
280155,280196,"CASP8 Third Target T0421 Start 2"
282970,283012,"CASP8 T0421 no constraints 1"
282971,283013,"CASP8 T0421 no constraints 2"
284121,284163,"CASP7 T0380"
284266,284308,"Unaided CASP7 T380 Constrained"
284291,284333,"T0425 Private baker lab test"
287121,287164,"CASP8 T0389 Refinement Start 1"
287123,287166,"CASP8 T0389 Refinement Start 2"
287124,287167,"CASP8 T0389 Refinement Start 3"
290344,290387,"CASP7 T380 Working Constraints"
290613,290656,"CASP7 T380 Second Constraints"
290697,290740,"CASP8 T0443"
291014,291057,"CASP8 T0446 Constraints"
291034,291077,"CASP7 T0331"
293126,293169,"62: Halorhodopsin"
293128,293171,"62 Beginner: Halorhodopsin"
297825,297869,"63: Spinach Protein"
297828,297872,"63 Beginner: Spinach Protein"
298339,298383,"CASP8 T0472 Start 1"
298342,298386,"CASP8 T0472 Start 2"
298344,298388,"CASP8 T0472 Start 3"
303349,303396,"63: Fibrin"
303352,303399,"63 Beginner: Fibrin"
307879,307930,"CASP7 T308 Start 2"
307884,307935,"CASP7 T308 Start 1"
313939,314005,"CASP8 T0432 Refinement Start2"
313944,314010,"CASP8 T0432 Refinement Start1"
319257,319335,"CASP8 T0462 Start1"
319258,319336,"CASP8 T0462 Start2"
321834,321915,"64: Thioredoxin"
321838,321919,"64 Beginner: Thioredoxin"
326277,326370,"CASP8 T0499 Start1"
326279,326372,"CASP8 T0499 Start2"
333403,333505,"CASP8 T0492 Start 1"
333405,333507,"CASP8 T0492 Start 2"
333409,333511,"CASP8 T0498 Start 1"
333411,333513,"CASP8 T0498 Start 2"
337993,338127,"65: Short Puzzle"
337994,338128,"65 Beginner: Short Puzzle"
339793,339945,"66: Cytochrome"
339795,339947,"66 Beginner: Cytochrome"
340165,340322,"CASP8 T0453 Refinement Start1"
340171,340328,"CASP8 T0453 Refinement Start2"
341426,341594,"CASP8 T0461 Refinement Start1"
341438,341607,"CASP8 T0461 Refinement Start2"
345267,345488,"67: Integrase"
345274,345495,"67 Beginner: Integrase"
346226,346468,TEST
346984,347240,"68: Bos taurus"
346985,347241,"68 Beginner: Bos taurus"
347240,347498,"CASP8 T0492 Start 3 Re-test"
347246,347504,"CASP8 T0492 Start 4 Re-test"
347255,347513,"CASP8 T0461 Start2 Re-test"
347263,347521,"CASP8 T0453 Start2 Re-test"
354822,355112,"69: Scorpion Toxin"
354824,355114,"69 Beginner: Scorpion Toxin"
354899,355189,"70 Beginner: Nucleosome Protein"
354900,355190,"70: Nucleosome Protein"
356501,356810,"CASP8 T0453 Start 3"
356504,356813,"CASP8 T0453 Start 4"
358809,359138,"CASP8 T0461 Start 3 Re-run"
358812,359141,"CASP8 T0461 Start 4 Re-run"
365379,365749,"CASP8 T0469 Start 1"
365380,365750,"CASP8 T0469 Start 2"
365382,365752,"CASP8 T0488 Start 2"
365383,365753,"CASP8 T0488 Start 1"
365632,366003,"TEST DofTether: No Tethers"
365637,366008,"TEST DofTether: Tethers"
369669,370056,"71: Crystallin"
369670,370057,"71 Beginner: Crystallin"
369880,370268,"TEST DofTether: Strong Tethers"
371362,371750,"CASP8 T0488 Start 3"
371363,371751,"CASP8 T0469 Start 3"
375147,375535,"72: Glycolysis"
375148,375536,"72 (<150): Glycolysis"
375149,375537,"72 (<15): Glycolysis"
378275,378663,"CASP8 T0488 Start 3"
380771,381159,"73: Polycystein"
380774,381162,"73 (<150): Polycystein"
380775,381163,"73 (<15): Polycystein"
386325,386713,"74: Platypus Venom"
386329,386717,"74 (<150): Platypus Venom"
386330,386718,"74 (<15): Platypus Venom"
390794,391182,"CASP8 T0469 Short 3"
390805,391193,"CASP8 T0469 Short 4"
390806,391194,"CASP8 T0469 Short 5"
390807,391195,"CASP8 T0469 Short 6"
394858,395246,"TEST: 2 Sidechains Noted"
395222,395610,"75: Antifreeze Protein"
395224,395612,"75 (<15): Antifreeze Protein"
395227,395615,"75 (<150): Antifreeze Protein"
395490,395878,"CASP8 T488 Start3-2"
402673,403061,"76: Plant Seed Protein"
402676,403064,"76 (<150): Plant Seed Protein"
402678,403066,"76 (<15): Plant Seed Protein"
406416,406804,"77: Gene Regulation Protein"
406418,406806,"77 (<150): Gene Regulation Protein"
406420,406808,"77 (<15): Gene Regulation Protein"
408057,408445,"78: Membrane Protein"
408058,408446,"78 (<150): Membrane Protein"
408059,408447,"78 (<15): Membrane Protein"
413950,414338,"79: Pheromone"
413952,414340,"79 (<15): Pheromone"
413953,414341,"79 (<150): Pheromone"
418407,418795,"80: Calcium Channel Blocker"
418409,418797,"80 (<15): Calcium Channel Blocker"
418410,418798,"80 (<150): Calcium Channel Blocker"
421689,422077,"Duel Puzzle 1: Receptor"
421693,422081,"Duel Puzzle 2: Neurotoxin"
421694,422082,"Duel Puzzle 3: Metallothionein"
421695,422083,"Duel Puzzle 4: Cardiac Stimulant"
421696,422084,"Duel Puzzle 5: Potassium Channel Inhibitor"
421745,422133,"81: Calcium Ion Binding Protein"
